markets,abbreviations,exceptions,crosslist,biasfreedate
Malaysia,"REIT, REAL ESTATE INVESTMENT TRUST, PREFERENCE SHARE, RESTRICTED, NIL PAID, PREFERENCE SHARES, DUPLICATE, CUMULATIVE",,(KLS),35034
Mongolia,,,,43074
NewZealand,"RIGHTS, INCOME FUND, SERIES, SHAREHOLDERS FUND, PROPERTY TRUST, STAPLED, RTS, RECEIPT, NIL PAID, CONVERTIBLE, PREFERRED",,(NZE),32112
Oman,"NIL PAID, FUND UNSUPPORTED",,,43074
Pakistan,"MUTUAL FUND, NIL PAID, FUND, MUTUAL",,"(PAK.),(PAKISTAN)",34669
Palestine,,,,43082
Philippines,"PDR, UNIT=",,(PHS),33208
Qatar,REIT,,,43076
SaudiArabia,"RTS, NIL PAID",,,43074
Singapore,"REAL ESTATE INVESTMENT, FUND, TRUST, NCPS, NCCPS, SGD, INVTRUST, SDS, DEPOSITORY, DUPLICATE, NIL PAID, FULLY PAID, REIT",,(SES),32112
SouthKorea,"( 2P ), 1PB , 2PB, 3PB , 1P, REIT, PF2, FUND, REAL ESTATE INVESTMENT, 1PF, 1PFD, KDR, NIL PAID, (DETACHED)",,,34669
SriLanka,"NIL PAID , NON VOTING",,(LANKA),43079
Syria,,,,43074
Taiwan,"TDR, REAL ESTATE INVESTMENT,REIT, ETF, (DETACHED), CONV.",,"(TW.),(TAIWAN)",35400
Thailand,"FB, PROPERTY FUND, DR1:1, FUND, REAL ESTATE INVESTMENT, NVDR, NIL PAID, DUPLICATE, UNITS",,"(THAILAND),(THAI.), (BANGKOK)",32478
Vietnam,,,,42742
Austria,"CERTIFICATE, ZT , NK5 , DUPLICATE, PARTICIPATION CERTIFICATE, CERT , VI , REIT , % S , NIL PAID",,(WBO),33573
Belgium,"STR , STR VV , STRIP, STRIPS, VVPR, CERTIFICATE, CERT, PC , CNP , IDR, UNITS, DELAWARE, ST VV, CS 1,  STRIP VV PR, FULLY, CVA, RNC, RIGHTS, REIT",,(BRU),33573
Finland,"FDR, SUBSCRIPTION RECEIPT, SALES RIGHTS",,(HEL),32112
France,"CERTIFICATE, DELAWARE, LIMITED DATA, BONUS RIGHTS, BDR, ADP, SPA, PREFERRED, STOCK DIVIDEND, SPA RP, AFV , NIL PAID, NV , NRFD , NR , CVA , DROIT DE VOTE,  PS , NIL PAID, ADP, FDR",,(PAR),29921
Germany,"REIT, SWAP, GENUSSSCHEINE, PREFERENCE, NPV, NIL PAID, BONUS RIGHTS, GS , PF , SUB RIGHTS, CDI , RSP ,DEPOSITORY RECEIPTS, UNIT, CHESS DEPOSITORY INTEREST, DEFERRED, PARTICIPATE CERTIFICATE, LIMITED PARTENERSHIP, GDRS, TRUST ",,"(FRA), (STU), (HAM), (DUS), (MUN), ",32478
XETRA,"REIT, REFINERY, PREFERENCE",,(XET),32478
Greece," PR ,UNITS,PREFERENCE",,(ATH),35034
Ireland,"DUPLICATE, FUND,UNITS, REIT",,"(DUB), (IEX), (ESM)",32843
Italy,"RSP, CONV RTS, NIL PAID, SUB RIGHTS, BONUS RIGHTS, RIGHTS, RP , RCV, NRFD, FULLY PIAD, ETN ",,(MIL),32478
Luxembourg," IDR , DEPOSITARY RECEIPT,DEPOSITARY, EDR , VVPR, DELAWARE, EDR , CDR , FDR , CERT, GDR , BDR",,(LUX),34669
Netherlands,"CERTIFICATE, DUPLICATE, DEPOSITARY, BONUS RIGHTS, % STOCK , CERT,CERTS, TRUST INCOME, STRIP, CT ,DUPL, UNITS, SPA ,STRIP VVPR, PREFERENCE",,"(AMS), (FL)",31747
Portugal,"BONUS RIGHTS, NIL PAID, BONUS RIGHT",,(LIS),33573
Spain,"NIL PAID, BONUS RIGHTS, BONUS RIGHT, BUNUS RIGHTS, SHARES, LIMITED DATA, CPO ",,(MAD),33939
Cyprus,"NIL PAID, RTS",,(CYP),43078
Estonia,"ADDITIONAL SHARE, NRFD, TUIENDAV AKTSIA",,,43078
Latvia,FB ,,,43078
Lithuania,,,,43076
Malta,,,"(MALTA), (MAL.)",43074
Slovakia,"FOND, VP, POV P, PP, LINKV, ZSP",,,43076
Slovenia,,,,43074
Azerbaijan,,,,43074
Bosnia-Herzegovina,,,,43078
Bulgaria,"FUND, REIT, NIL PAID",,,43074
Croatia,"PREFERENCE SHARES, PIF",,,43074
CzechRepublic,,,(PRA),35034
Denmark,"NIL PAID, REGD CERT",,(CSE),32112
Hungary,"UNITS, TRUST",,(BUD),36495
Iceland,,,(ICE),43074
Kazakhstan,"PREFERENCE LIMITED, PREFERENCE SHARES",,(KAZ),43082
Macedonia,,,,43078
Montenegro,,,,43081
Norway,"DUPLI, NEW SHARES, NIL PAID",,(OSL),31747
Poland,NIL PAID,,(WAR),35034
Romania,,,(BSE),43077
Russia,"PREF, TRAST, RDP, PREFERENCE, PREF.",,,43073
Serbia, CF ,,,43078
Sweden,"SDB, UNIT, NIL PAID REDEMPTION, REDEMP, SDR, FULLY PAID, RFD, INTERIM SHARE, RIGHTS, DEPOSITARY, RECEIPTS, SR 1, RFD",,"(OME), (XSQ)",31747
Switzerland,"WHEN ISSUED, CERTIFICATE, DELAWARE, SERIES, REAL ESTATE FUND, CERT, DUPLICATE, UNITS, BOND, BONUS RIGHTS, REAL ESTATE IFCA, PROPERTY FUND, MIXED, REIT, COMMERCIAL FUND, DRC",,"(SWX), (BRN)",30286
Turkey,"CERT, NRFD, NIL PAID, FULLY PAID",,(IST),34669
UK," FUND , TRUST ,NIL PAID,STOCK UNIT,ANNUITY UNIT,UNIT œ,UNIT TRUST, UNITS, ZDP ,REIT,POST RED,DEPOSITARY,RECEIPT,INTERIM SHARES,REEDEMABLE,PREFERENCE,INVESTMENT TRUST, ADR,FULLY PAID,PARTLY PAID, BDR, NRDF,DEFERRED",,"(LON), (UNITED KINGDOM)",31017
Ukraine," CF , FUND, CLOSED FUND ",,,43075
